iter	Passed	Remaining
0	133	133223
1	134	67132
2	135	45058
3	136	33911
4	136	27194
5	137	22701
6	137	19498
7	137	17095
8	138	15224
9	138	13727
10	139	12518
11	139	11520
12	140	10671
13	140	9927
14	141	9283
15	141	8719
16	142	8223
17	142	7794
18	143	7405
19	144	7059
20	144	6737
21	144	6443
22	145	6175
23	145	5927
24	146	5700
25	146	5489
26	146	5294
27	147	5113
28	147	4945
29	148	4790
30	148	4644
31	148	4507
32	149	4379
33	149	4257
34	150	4142
35	150	4033
36	151	3930
37	151	3832
38	151	3740
39	152	3651
40	152	3568
41	152	3489
42	153	3413
43	153	3342
44	154	3274
45	154	3208
46	155	3145
47	155	3085
48	156	3027
49	156	2971
50	156	2918
51	157	2866
52	157	2817
53	158	2768
54	158	2722
55	158	2678
56	159	2634
57	159	2593
58	160	2552
59	160	2513
60	160	2475
61	161	2438
62	161	2402
63	161	2368
64	162	2334
65	162	2302
66	163	2271
67	163	2241
68	163	2211
69	164	2182
70	164	2155
71	165	2127
72	165	2101
73	165	2075
74	166	2055
75	167	2031
76	167	2008
77	167	1984
78	168	1961
79	168	1939
80	169	1917
81	169	1896
82	169	1873
83	170	1854
84	170	1834
85	170	1815
86	171	1796
87	171	1778
88	171	1760
89	172	1743
90	172	1726
91	173	1710
92	173	1694
93	174	1678
94	174	1662
95	174	1647
96	175	1632
97	175	1617
98	176	1602
99	176	1588
100	176	1574
101	177	1560
102	177	1547
103	178	1534
104	178	1521
105	178	1508
106	179	1495
107	179	1483
108	180	1471
109	180	1460
110	180	1448
111	181	1437
112	181	1426
113	182	1415
114	182	1405
115	183	1394
116	183	1383
117	183	1373
118	184	1364
119	184	1354
120	185	1346
121	185	1337
122	186	1328
123	186	1319
124	187	1311
125	187	1301
126	188	1292
127	188	1283
128	188	1274
129	189	1266
130	189	1258
131	190	1250
132	190	1242
133	191	1234
134	191	1227
135	192	1220
136	192	1212
137	193	1205
138	193	1198
139	193	1191
140	194	1184
141	194	1176
142	195	1169
143	195	1162
144	196	1156
145	196	1150
146	197	1144
147	197	1138
148	198	1132
149	198	1126
150	199	1120
151	199	1115
152	200	1108
153	200	1103
154	201	1097
155	201	1091
156	202	1085
157	202	1079
158	203	1074
159	203	1068
160	203	1062
161	204	1057
162	204	1052
163	205	1047
164	206	1042
165	206	1037
166	206	1032
167	207	1027
168	207	1022
169	208	1018
170	208	1013
171	209	1008
172	209	1003
173	210	998
174	210	994
175	211	990
176	211	985
177	212	980
178	212	976
179	213	971
180	213	966
181	214	962
182	214	957
183	214	953
184	215	948
185	215	944
186	216	940
187	216	936
188	217	932
189	217	928
190	218	924
191	218	920
192	219	916
193	219	912
194	220	908
195	220	904
196	221	900
197	221	896
198	221	892
199	222	889
200	222	886
201	223	882
202	223	879
203	224	875
204	224	872
205	225	868
206	225	865
207	226	861
208	226	858
209	227	854
210	227	850
211	227	847
212	228	843
213	228	840
214	229	837
215	229	834
216	230	830
217	230	827
218	231	824
219	231	820
220	231	817
221	232	813
222	232	810
223	233	807
224	233	804
225	233	800
226	234	797
227	234	794
228	235	791
229	235	788
230	236	785
231	236	782
232	236	779
233	237	776
234	237	773
235	238	770
236	238	767
237	238	764
238	239	761
239	239	759
240	240	756
241	240	753
242	240	750
243	241	747
244	241	745
245	242	743
246	242	740
247	243	737
248	243	735
249	244	732
250	244	730
251	245	727
252	245	724
253	245	722
254	246	719
255	246	717
256	247	714
257	247	712
258	248	709
259	248	707
260	249	705
261	249	703
262	250	701
263	250	698
264	251	696
265	251	694
266	252	691
267	252	689
268	252	687
269	253	684
270	253	682
271	254	680
272	254	678
273	255	676
274	255	674
275	256	672
276	256	669
277	257	667
278	257	665
279	257	663
280	258	661
281	258	658
282	259	656
283	259	654
284	260	652
285	260	650
286	261	648
287	261	646
288	261	644
289	262	642
290	262	640
291	263	638
292	263	636
293	263	633
294	264	631
295	264	629
296	265	627
297	265	625
298	265	623
299	266	621
300	266	619
301	267	617
302	267	616
303	268	614
304	268	612
305	269	610
306	269	608
307	269	606
308	270	604
309	270	602
310	271	600
311	271	598
312	271	596
313	272	594
314	272	592
315	273	591
316	273	589
317	274	587
318	274	586
319	275	584
320	275	582
321	275	580
322	276	579
323	276	577
324	277	575
325	277	573
326	278	572
327	278	570
328	278	568
329	279	567
330	279	565
331	280	563
332	280	562
333	281	560
334	281	558
335	281	557
336	282	555
337	282	553
338	283	551
339	283	550
340	283	548
341	284	546
342	284	545
343	285	543
344	285	541
345	286	540
346	286	539
347	286	537
348	287	536
349	287	534
350	288	532
351	288	531
352	289	530
353	289	528
354	290	527
355	290	525
356	290	524
357	291	522
358	291	521
359	292	519
360	292	518
361	293	517
362	293	515
363	294	514
364	294	512
365	295	511
366	295	510
367	296	508
368	296	507
369	297	505
370	297	504
371	297	503
372	298	501
373	298	500
374	299	499
375	299	497
376	300	496
377	300	494
378	301	493
379	301	492
380	302	490
381	302	489
382	302	487
383	303	486
384	303	485
385	304	483
386	304	482
387	305	481
388	305	480
389	306	478
390	306	477
391	306	476
392	307	474
393	307	473
394	308	472
395	308	471
396	309	469
397	309	468
398	310	467
399	310	466
400	311	464
401	311	463
402	312	462
403	312	461
404	313	459
405	313	458
406	313	457
407	314	456
408	314	454
409	315	453
410	315	452
411	315	450
412	316	449
413	316	448
414	317	447
415	317	446
416	318	444
417	318	443
418	319	442
419	319	441
420	319	440
421	320	438
422	320	437
423	321	436
424	321	435
425	322	433
426	322	432
427	322	431
428	323	430
429	323	429
430	324	428
431	324	427
432	325	426
433	325	425
434	326	423
435	326	422
436	327	421
437	327	420
438	328	419
439	328	418
440	328	416
441	329	415
442	329	414
443	330	413
444	330	412
445	331	411
446	331	410
447	331	409
448	332	407
449	332	406
450	333	405
451	333	404
452	333	403
453	334	402
454	334	400
455	335	399
456	335	398
457	336	397
458	336	396
459	336	395
460	337	394
461	337	393
462	338	392
463	338	391
464	338	390
465	339	388
466	339	387
467	340	386
468	340	385
469	340	384
470	341	383
471	341	382
472	342	381
473	342	380
474	343	379
475	343	378
476	343	377
477	344	375
478	344	374
479	345	373
480	345	372
481	345	371
482	346	370
483	346	369
484	347	368
485	347	367
486	348	366
487	348	365
488	348	364
489	349	363
490	349	362
491	350	361
492	350	360
493	350	359
494	351	358
495	351	357
496	352	356
497	352	355
498	352	354
499	353	353
500	353	352
501	354	351
502	354	350
503	355	349
504	356	348
505	356	348
506	357	347
507	357	346
508	358	345
509	358	344
510	358	343
511	359	342
512	359	341
513	360	340
514	360	339
515	361	339
516	362	338
517	362	337
518	363	336
519	363	335
520	364	334
521	364	333
522	365	332
523	365	331
524	365	331
525	366	330
526	366	329
527	367	328
528	367	327
529	368	326
530	368	325
531	369	324
532	369	323
533	369	322
534	370	321
535	370	321
536	371	320
537	371	319
538	372	318
